year,team,total_wins
1969,Italy,2
1969,Denmark,1
1969,England,1
1970,Denmark,3
1970,Italy,2
1970,England,1
1971,Denmark,3
1971,Italy,2
1971,France,1
1972,England,1
1979,Denmark,4
1979,Italy,3
1979,England,2
1979,Sweden,1
1979,Norway,1
1981,Japan,1
1981,England,1
1981,Italy,1
1981,Denmark,1
1982,England,3
1982,Sweden,3
1982,France,1
1982,Denmark,1
1982,Italy,1
1982,Norway,1
1983,Italy,4
1983,England,3
1983,Sweden,3
1983,Norway,2
1983,Denmark,2
1983,France,1
1984,England,4
1984,Sweden,3
1984,Italy,2
1984,Germany,1
1985,England,5
1985,Italy,5
1985,Denmark,4
1985,Sweden,3
1985,Norway,1
1986,Italy,6
1986,"China PR",5
1986,England,3
1986,"United States",3
1986,Japan,3
1986,Sweden,2
1986,Norway,2
1986,France,1
1986,Germany,1
1987,Norway,2
1987,England,2
1987,Germany,2
1987,France,2
1987,Sweden,1
1987,Italy,1
1987,Denmark,1
1988,Italy,8
1988,Denmark,4
1988,Norway,4
1988,Germany,3
1988,"United States",2
1988,England,2
1988,Sweden,2
1988,France,2
1989,"China PR",5
1989,Japan,4
1989,Norway,3
1989,Sweden,2
1989,Germany,2
1989,Denmark,2
1989,Italy,1
1989,France,1
1990,Germany,6
1990,Norway,5
1990,"China PR",5
1990,Denmark,4
1990,Japan,3
1990,Sweden,3
1990,Italy,2
1990,England,2
1990,France,1
1991,"United States",11
1991,"China PR",7
1991,Germany,6
1991,Norway,5
1991,Sweden,5
1991,Japan,4
1991,Denmark,3
1991,Italy,3
1992,England,4
1992,Norway,4
1992,Italy,4
1992,Denmark,3
1992,Sweden,2
1992,Germany,2
1992,France,1
1993,Norway,4
1993,Japan,4
1993,"China PR",4
1993,"United States",3
1993,Denmark,3
1993,Sweden,2
1993,Italy,2
1993,England,2
1993,Germany,1
1993,France,1
1994,Norway,8
1994,Germany,8
1994,"United States",6
1994,Sweden,5
1994,England,4
1994,Denmark,4
1994,France,3
1994,"China PR",3
1994,Japan,2
1994,Italy,2
1995,Norway,10
1995,Germany,8
1995,Sweden,8
1995,"China PR",7
1995,"United States",6
1995,Denmark,6
1995,Japan,5
1995,Italy,4
1995,England,3
1996,Norway,11
1996,Sweden,7
1996,"China PR",6
1996,Denmark,6
1996,Germany,5
1996,France,4
1996,"United States",4
1996,England,3
1996,Italy,2
1997,"China PR",8
1997,Norway,5
1997,Sweden,5
1997,Japan,4
1997,Germany,3
1997,Denmark,2
1997,Italy,2
1997,France,1
1998,"China PR",9
1998,"United States",5
1998,Norway,5
1998,Japan,3
1998,Denmark,2
1998,Sweden,2
1999,"China PR",15
1999,Norway,8
1999,"United States",7
1999,Japan,4
1999,Germany,3
1999,Sweden,3
1999,Italy,2
1999,Denmark,2
1999,France,1
1999,England,1
2000,Norway,11
2000,"United States",11
2000,"China PR",8
2000,Germany,7
2000,Sweden,6
2000,Denmark,5
2000,England,4
2000,France,3
2000,Italy,2
2001,Sweden,7
2001,"China PR",7
2001,Germany,5
2001,Denmark,4
2001,Norway,4
2001,Japan,4
2001,Italy,1
2001,France,1
2001,"United States",1
2002,"China PR",8
2002,"United States",8
2002,Norway,4
2002,Germany,3
2002,Japan,3
2002,Sweden,2
2002,England,1
2002,Denmark,1
2003,Germany,10
2003,"China PR",9
2003,"United States",9
2003,Sweden,9
2003,Norway,7
2003,France,6
2003,Japan,5
2003,Denmark,3
2003,Italy,2
2004,"United States",10
2004,Germany,8
2004,"China PR",7
2004,Sweden,7
2004,Norway,7
2004,Italy,6
2004,France,6
2004,Denmark,6
2004,Japan,4
2005,Germany,10
2005,Norway,4
2005,England,4
2005,"United States",4
2005,France,4
2005,"China PR",2
2005,Denmark,2
2005,Sweden,2
2006,"United States",9
2006,"China PR",8
2006,Japan,7
2006,Germany,3
2006,Denmark,3
2006,Sweden,2
2006,France,1
2006,Norway,1
2006,Italy,1
2007,Germany,11
2007,"United States",9
2007,Norway,8
2007,Sweden,7
2007,Italy,7
2007,France,6
2007,Denmark,5
2007,England,4
2007,"China PR",3
2007,Japan,1
2008,"United States",16
2008,Norway,9
2008,Germany,9
2008,Sweden,9
2008,Japan,8
2008,Denmark,8
2008,"China PR",6
2008,Italy,6
2008,France,3
2008,England,3
2009,Germany,8
2009,England,8
2009,"China PR",7
2009,France,7
2009,Sweden,7
2009,Denmark,6
2009,Italy,6
2009,Norway,5
2009,"United States",3
2010,"United States",10
2010,England,9
2010,Norway,8
2010,Italy,7
2010,France,7
2010,Japan,7
2010,Sweden,7
2010,Denmark,6
2010,"China PR",5
2010,Germany,3
2011,"United States",9
2011,France,9
2011,Denmark,9
2011,Sweden,8
2011,Japan,7
2011,Italy,7
2011,England,6
2011,Germany,6
2011,Norway,4
2011,"China PR",2
2012,"United States",28
2012,France,11
2012,Germany,10
2012,Italy,7
2012,Norway,7
2012,England,6
2012,Japan,6
2012,Denmark,6
2012,Sweden,3
2012,"China PR",2
2013,"United States",13
2013,Germany,11
2013,Norway,9
2013,England,7
2013,Sweden,7
2013,France,7
2013,Italy,4
2013,"China PR",3
2013,Japan,2
2013,Denmark,2
2014,"United States",17
2014,"China PR",10
2014,Japan,10
2014,Germany,9
2014,Sweden,9
2014,England,9
2014,France,9
2014,Italy,7
2014,Norway,6
2014,Denmark,5
2015,"United States",20
2015,France,11
2015,England,11
2015,Germany,10
2015,Japan,9
2015,Norway,6
2015,Sweden,5
2015,Italy,4
2015,"China PR",4
2015,Denmark,3
2016,"United States",21
2016,Germany,10
2016,Italy,8
2016,Denmark,8
2016,France,6
2016,"China PR",5
2016,England,5
2016,Sweden,5
2016,Norway,5
2017,"United States",12
2017,England,8
2017,Denmark,7
2017,Germany,6
2017,Sweden,6
2017,Italy,6
2017,"China PR",4
2017,Japan,3
2017,France,3
2017,Norway,3
2018,"United States",18
2018,"China PR",15
2018,Japan,11
2018,Sweden,6
2018,Norway,6
2018,Italy,5
2018,England,5
2018,Germany,4
2018,Denmark,3
2018,France,1
2019,"United States",20
2019,Italy,12
2019,Norway,9
2019,Sweden,9
2019,Germany,8
2019,France,7
2019,England,7
2019,Denmark,6
2019,"China PR",4
2019,Japan,3
2020,"United States",9
2020,France,7
2020,Germany,7
2020,Denmark,6
2020,Sweden,5
2020,Norway,4
2020,Italy,3
2020,England,1
2021,Sweden,10
2021,"United States",8
2021,Italy,6
2021,England,6
2021,Germany,6
2021,France,6
2021,Norway,5
2021,Denmark,5
2021,Japan,2
2022,England,11
2022,France,10
2022,Germany,8
