decade,team,total_wins
1960s,Italy,2
1960s,Denmark,1
1960s,England,1
1970s,Denmark,10
1970s,Italy,7
1970s,Thailand,6
1970s,Mexico,5
1970s,England,4
1980s,Italy,29
1980s,England,23
1980s,Taiwan,20
1980s,Sweden,19
1980s,Denmark,15
1990s,Norway,65
1990s,"China PR",64
1990s,Germany,42
1990s,Sweden,42
1990s,"United States",42
2000s,"United States",80
2000s,Germany,74
2000s,"China PR",65
2000s,Norway,60
2000s,Sweden,58
2010s,"United States",168
2010s,Germany,77
2010s,England,73
2010s,France,71
2010s,Italy,67
2020s,France,34
2020s,Spain,32
2020s,England,30
2020s,Sweden,29
2020s,"United States",28
